Date,open,high,low,close,volume
4/3/2021,58950.01,59791.72,56880,57051.94,47409.85211
4/4/2021,57051.95,58492.85,56388,58202.01,41314.08197
4/5/2021,58202.01,59272,56777.77,59129.99,54258.01579
4/6/2021,59129.99,59495.24,57413.02,57991.15,54201.00073
4/7/2021,57990.03,58655,55473,55953.45,71228.40566
4/8/2021,55953.44,58153.31,55700,58077.52,44283.14702
4/9/2021,58077.52,58894.9,57654,58142.54,40831.88491
4/10/2021,58142.55,61500,57900.01,59769.13,69906.42412
4/11/2021,59769.13,60699,59232.52,60002.43,41156.71539
4/12/2021,59998.8,61300,59350.59,59860,56375.03712
4/13/2021,59860.01,63777.77,59805.15,63575,82848.68875
4/14/2021,63575.01,64854,61301,62959.53,82616.34399
4/15/2021,62959.53,63800,62020,63159.98,51649.70034
4/16/2021,63158.74,63520.61,60000,61334.8,91764.13988
4/17/2021,61334.81,62506.05,59580.91,60006.66,58912.25613
4/18/2021,60006.67,60499,50931.3,56150.01,124882.1318
4/19/2021,56150.01,57526.81,54221.58,55633.14,78229.04227
4/20/2021,55633.14,57076.24,53329.96,56425,72744.48215
4/21/2021,56425,56757.91,53536.02,53787.63,66984.75691
4/22/2021,53787.62,55521.48,50500,51690.96,104656.6313
4/23/2021,51690.95,52131.85,47500,51125.14,132230.7807
4/24/2021,51110.56,51166.22,48657.14,50047.84,55361.51257
4/25/2021,50047.84,50567.91,46930,49066.77,58255.645
4/26/2021,49066.76,54356.62,48753.44,54001.39,86310.80212
4/27/2021,54001.38,55460,53222,55011.97,54064.03468
4/28/2021,55011.97,56428,53813.16,54846.22,55130.45902
4/29/2021,54846.23,55195.84,52330.94,53555,52486.01946
4/30/2021,53555,57963,53013.01,57694.27,68578.91005
5/1/2021,57697.25,58458.07,56956.14,57800.37,42600.35184
5/2/2021,57797.35,57911.02,56035.25,56578.21,36812.87886
5/3/2021,56578.21,58981.44,56435,57169.39,57649.93129
5/4/2021,57169.39,57200,53046.69,53200.01,85324.6259
5/5/2021,53205.05,58069.82,52900,57436.11,77263.92344
5/6/2021,57436.11,58360,55200,56393.68,70181.67191
5/7/2021,56393.68,58650,55241.63,57314.75,74542.74783
5/8/2021,57315.49,59500,56900,58862.05,69709.90603
5/9/2021,58866.53,59300,56235.66,58240.84,69806.11991
5/10/2021,58240.83,59500,53400,55816.14,89586.34925
5/11/2021,55816.14,56862.43,54370,56670.02,64329.54055
5/12/2021,56670.02,58000.01,48600,49631.32,99842.78984
5/13/2021,49537.15,51367.19,46000,49670.97,147332.0021
5/14/2021,49671.92,51483,48799.75,49841.45,80082.20431
5/15/2021,49844.16,50700,46555,46762.99,89437.44936
5/16/2021,46762.99,49795.89,43825.39,46431.5,114269.8128
5/17/2021,46426.83,46686,42001,43538.04,166657.1727
5/18/2021,43538.02,45799.29,42250.02,42849.78,116979.8608
5/19/2021,42849.78,43584.9,30000,36690.09,354347.2432
5/20/2021,36671.23,42451.67,34850,40526.64,203017.5969
5/21/2021,40525.39,42200,33488,37252.01,202100.8883
5/22/2021,37263.35,38829,35200.62,37449.73,126542.2437
5/23/2021,37458.51,38270.64,31111.01,34655.25,217136.0466
5/24/2021,34681.44,39920,34031,38796.29,161630.894
5/25/2021,38810.99,39791.77,36419.62,38324.72,111996.2284
5/26/2021,38324.72,40841,37800.44,39241.91,104780.7734
5/27/2021,39241.92,40411.14,37134.27,38529.98,86547.15879
5/28/2021,38529.99,38877.83,34684,35663.49,135377.6297
5/29/2021,35661.79,37338.58,33632.76,34605.15,112663.0927
5/30/2021,34605.15,36488,33379,35641.27,73535.38697
5/31/2021,35641.26,37499,34153.84,37253.81,94160.73529
6/1/2021,37253.82,37894.81,35666,36693.09,81234.66377
6/2/2021,36694.85,38225,35920,37568.68,67587.3725
6/3/2021,37568.68,39476,37170,39246.79,75889.10601
6/4/2021,39246.78,39289.07,35555.15,36829,91317.79925
6/5/2021,36829.15,37925,34800,35513.2,70459.62149
6/6/2021,35516.07,36480,35222,35796.31,47650.20664
6/7/2021,35796.31,36900,33300,33552.79,77574.95257
6/8/2021,33556.96,34068.01,31000,33380.81,123251.189
6/9/2021,33380.8,37534.79,32396.82,37388.05,136607.5975
6/10/2021,37388.05,38491,35782,36675.72,109527.2849
6/11/2021,36677.83,37680.4,35936.77,37331.98,78466.0053
6/12/2021,37331.98,37463.63,34600.36,35546.11,87717.54999
6/13/2021,35546.12,39380,34757,39020.57,86921.02556
6/14/2021,39020.56,41064.05,38730,40516.29,108522.3919
6/15/2021,40516.28,41330,39506.4,40144.04,80679.62284
6/16/2021,40143.8,40527.14,38116.01,38349.01,87771.97694
6/17/2021,38349,39559.88,37365,38092.97,79541.30712
6/18/2021,38092.97,38202.84,35129.29,35819.84,95228.04294
6/19/2021,35820.48,36457,34803.52,35483.72,68712.44946
6/20/2021,35483.72,36137.72,33336,35600.16,89878.17085
6/21/2021,35600.17,35750,31251.23,31608.93,168778.8732
